id,province,city_regency,district,sub_district,postal_code
1,DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Selatan,Pulau Tidung,14540
2,DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Selatan,Pulau Pari,14520
3,DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Selatan,Pulau Untung Jawa,14510
4,DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Utara,Pulau Panggang,14530
5,DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Utara,Pulau Kelapa,14540
6,DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Utara,Pulau Harapan,14540
7,DKI Jakarta,Jakarta Selatan,Jagakarsa,Cipedak,12630
8,DKI Jakarta,Jakarta Selatan,Jagakarsa,Srengseng Sawah,12640
9,DKI Jakarta,Jakarta Selatan,Jagakarsa,Ciganjur,12630
10,DKI Jakarta,Jakarta Selatan,Jagakarsa,Jagakarsa,12620
11,DKI Jakarta,Jakarta Selatan,Jagakarsa,Lenteng Agung,12630
12,DKI Jakarta,Jakarta Selatan,Pasar Minggu,Cilandak Timur,12560
13,DKI Jakarta,Jakarta Selatan,Pasar Minggu,Ragunan,12550
14,DKI Jakarta,Jakarta Selatan,Pasar Minggu,Kebagusan,12520
15,DKI Jakarta,Jakarta Selatan,Pasar Minggu,Tanjung Barat,12530
16,DKI Jakarta,Jakarta Selatan,Pasar Minggu,Pasar Minggu,12520
17,DKI Jakarta,Jakarta Selatan,Pasar Minggu,Jati Padang,12540
18,DKI Jakarta,Jakarta Selatan,Pasar Minggu,Pejaten Barat,12510
19,DKI Jakarta,Jakarta Selatan,Cilandak,Lebak Bulus,12440
20,DKI Jakarta,Jakarta Selatan,Cilandak,Pondok Labu,12450
21,DKI Jakarta,Jakarta Selatan,Cilandak,Cilandak Barat,12430
22,DKI Jakarta,Jakarta Selatan,Cilandak,Gandaria Selatan,12420
23,DKI Jakarta,Jakarta Selatan,Cilandak,Cipete Selatan,12410
24,DKI Jakarta,Jakarta Selatan,Pesanggrahan,Bintaro,12330
25,DKI Jakarta,Jakarta Selatan,Pesanggrahan,Pesanggrahan,12320
26,DKI Jakarta,Jakarta Selatan,Pesanggrahan,Ulujami,12250
27,DKI Jakarta,Jakarta Selatan,Pesanggrahan,Petukangan Selatan,12270
28,DKI Jakarta,Jakarta Selatan,Pesanggrahan,Petukangan Utara,12260
29,DKI Jakarta,Jakarta Selatan,Kebayoran Lama,Pondok Pinang,12310
30,DKI Jakarta,Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Selatan,12240
31,DKI Jakarta,Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,12240
32,DKI Jakarta,Jakarta Selatan,Kebayoran Lama,Cipulir,12230
33,DKI Jakarta,Jakarta Selatan,Kebayoran Lama,Grogol Selatan,12220
34,DKI Jakarta,Jakarta Selatan,Kebayoran Lama,Grogol Utara,12210
35,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gandaria Utara,12140
36,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Cipete Utara,12140
